replicate,dataset,model,utility
6,mmlupro,Qwen3-8B,0.6905158069883528
6,mmlupro,Llama-3.1-8B-Instruct,0.45923460898502494
6,mmlupro,NVIDIA-Nemotron-Nano-9B-v2,0.6638935108153078
6,mmlupro,gemma-2-9b-it,0.5574043261231281
6,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7383720930232558
6,finqa,Fin-R1,0.7209302325581395
6,finqa,Llama-3.1-8B-UltraMedical,0.5625
6,finqa,Qwen2.5-Coder-7B-Instruct,0.6438953488372093
6,finqa,Qwen3-8B,0.7558139534883721
6,finqa,Llama-3.1-8B-Instruct,0.5261627906976745
6,finqa,NVIDIA-Nemotron-Nano-9B-v2,0.7398255813953488
6,finqa,gemma-2-9b-it,0.6656976744186046
6,medqa,DeepSeek-R1-0528-Qwen3-8B,0.8206806282722513
6,medqa,Fin-R1,0.6204188481675392
6,medqa,Llama-3.1-8B-UltraMedical,0.6767015706806283
6,medqa,Qwen2.5-Coder-7B-Instruct,0.4698952879581152
6,medqa,Qwen3-8B,0.7801047120418848
6,medqa,Llama-3.1-8B-Instruct,0.6897905759162304
6,medqa,NVIDIA-Nemotron-Nano-9B-v2,0.7290575916230366
6,medqa,gemma-2-9b-it,0.606020942408377
6,meld,DeepSeek-R1-0528-Qwen3-8B,0.5385656292286874
6,meld,Fin-R1,0.4790257104194858
6,meld,Llama-3.1-8B-UltraMedical,0.4397834912043302
6,meld,Qwen2.5-Coder-7B-Instruct,0.510148849797023
6,meld,Qwen3-8B,0.5520974289580515
6,meld,Llama-3.1-8B-Instruct,0.5020297699594046
6,meld,NVIDIA-Nemotron-Nano-9B-v2,0.5128552097428958
6,meld,gemma-2-9b-it,0.5385656292286874
6,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5706666666666667
6,korbench,Fin-R1,0.31733333333333336
6,korbench,Llama-3.1-8B-UltraMedical,0.12266666666666666
6,korbench,Qwen2.5-Coder-7B-Instruct,0.3373333333333333
6,korbench,Qwen3-8B,0.524
6,korbench,Llama-3.1-8B-Instruct,0.19733333333333333
6,korbench,NVIDIA-Nemotron-Nano-9B-v2,0.5573333333333333
6,korbench,gemma-2-9b-it,0.332
7,math500,DeepSeek-R1-0528-Qwen3-8B,0.96
7,math500,Fin-R1,0.7766666666666666
7,math500,Llama-3.1-8B-UltraMedical,0.48333333333333334
7,math500,Qwen2.5-Coder-7B-Instruct,0.6766666666666666
7,math500,Qwen3-8B,0.9433333333333334
7,math500,Llama-3.1-8B-Instruct,0.5433333333333333
7,math500,NVIDIA-Nemotron-Nano-9B-v2,0.9466666666666667
7,math500,gemma-2-9b-it,0.48
7,livecodebench,DeepSeek-R1-0528-Qwen3-8B,0.6382306477093207
7,livecodebench,Fin-R1,0.06635071090047394
