replicate,model,dataset,utility
4,gemma-2-9b-it,korbench,0.32133333333333336
5,DeepSeek-R1-0528-Qwen3-8B,math500,0.9366666666666666
5,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.6429699842022117
5,DeepSeek-R1-0528-Qwen3-8B,bbh,0.8811728395061729
5,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.6888519134775375
5,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7078488372093024
5,DeepSeek-R1-0528-Qwen3-8B,medqa,0.8075916230366492
5,DeepSeek-R1-0528-Qwen3-8B,meld,0.5155615696887687
5,DeepSeek-R1-0528-Qwen3-8B,korbench,0.556
5,Fin-R1,math500,0.7966666666666666
5,Fin-R1,livecodebench,0.0679304897314376
5,Fin-R1,bbh,0.6172839506172839
5,Fin-R1,mmlupro,0.47753743760399336
5,Fin-R1,finqa,0.6802325581395349
5,Fin-R1,medqa,0.6047120418848168
5,Fin-R1,meld,0.5209742895805142
5,Fin-R1,korbench,0.32
5,Llama-3.1-8B-UltraMedical,math500,0.4266666666666667
5,Llama-3.1-8B-UltraMedical,livecodebench,0.1627172195892575
5,Llama-3.1-8B-UltraMedical,bbh,0.3549382716049383
5,Llama-3.1-8B-UltraMedical,mmlupro,0.3627287853577371
5,Llama-3.1-8B-UltraMedical,finqa,0.5058139534883721
5,Llama-3.1-8B-UltraMedical,medqa,0.7028795811518325
5,Llama-3.1-8B-UltraMedical,meld,0.44248985115020295
5,Llama-3.1-8B-UltraMedical,korbench,0.11333333333333333
5,Qwen2.5-Coder-7B-Instruct,math500,0.6533333333333333
5,Qwen2.5-Coder-7B-Instruct,livecodebench,0.28278041074249605
5,Qwen2.5-Coder-7B-Instruct,bbh,0.5694444444444444
5,Qwen2.5-Coder-7B-Instruct,mmlupro,0.4475873544093178
5,Qwen2.5-Coder-7B-Instruct,finqa,0.6424418604651163
5,Qwen2.5-Coder-7B-Instruct,medqa,0.47643979057591623
5,Qwen2.5-Coder-7B-Instruct,meld,0.5115020297699594
5,Qwen2.5-Coder-7B-Instruct,korbench,0.312
5,Qwen3-8B,math500,0.9333333333333333
5,Qwen3-8B,livecodebench,0.6998420221169036
5,Qwen3-8B,bbh,0.8209876543209876
5,Qwen3-8B,mmlupro,0.6622296173044925
5,Qwen3-8B,finqa,0.7267441860465116
5,Qwen3-8B,medqa,0.7827225130890052
5,Qwen3-8B,meld,0.523680649526387
5,Qwen3-8B,korbench,0.5426666666666666
5,Llama-3.1-8B-Instruct,math500,0.4666666666666667
5,Llama-3.1-8B-Instruct,livecodebench,0.1943127962085308
5,Llama-3.1-8B-Instruct,bbh,0.5848765432098766
5,Llama-3.1-8B-Instruct,mmlupro,0.43094841930116473
5,Llama-3.1-8B-Instruct,finqa,0.498546511627907
5,Llama-3.1-8B-Instruct,medqa,0.7028795811518325
5,Llama-3.1-8B-Instruct,meld,0.476319350473613
5,Llama-3.1-8B-Instruct,korbench,0.20666666666666667
5,NVIDIA-Nemotron-Nano-9B-v2,math500,0.9333333333333333
5,NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.6635071090047393
5,NVIDIA-Nemotron-Nano-9B-v2,bbh,0.8595679012345679
5,NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.6622296173044925
5,NVIDIA-Nemotron-Nano-9B-v2,finqa,0.6991279069767442
5,NVIDIA-Nemotron-Nano-9B-v2,medqa,0.7395287958115183
5,NVIDIA-Nemotron-Nano-9B-v2,meld,0.48308525033829497
5,NVIDIA-Nemotron-Nano-9B-v2,korbench,0.536
5,gemma-2-9b-it,math500,0.49
5,gemma-2-9b-it,livecodebench,0.20063191153238547
5,gemma-2-9b-it,bbh,0.5879629629629629
5,gemma-2-9b-it,mmlupro,0.5457570715474209
5,gemma-2-9b-it,finqa,0.623546511627907
5,gemma-2-9b-it,medqa,0.6256544502617801
5,gemma-2-9b-it,meld,0.5412719891745602
5,gemma-2-9b-it,korbench,0.328
6,DeepSeek-R1-0528-Qwen3-8B,math500,0.9566666666666667
6,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.6018957345971564
6,DeepSeek-R1-0528-Qwen3-8B,bbh,0.904320987654321
6,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.7171381031613977
6,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7383720930232558
6,DeepSeek-R1-0528-Qwen3-8B,medqa,0.8206806282722513
6,DeepSeek-R1-0528-Qwen3-8B,meld,0.5385656292286874
6,DeepSeek-R1-0528-Qwen3-8B,korbench,0.5706666666666667
6,Fin-R1,math500,0.76
6,Fin-R1,livecodebench,0.06477093206951026
6,Fin-R1,bbh,0.6080246913580247
6,Fin-R1,mmlupro,0.4891846921797005
6,Fin-R1,finqa,0.7209302325581395
6,Fin-R1,medqa,0.6204188481675392
6,Fin-R1,meld,0.4790257104194858
6,Fin-R1,korbench,0.31733333333333336
6,Llama-3.1-8B-UltraMedical,math500,0.4666666666666667
6,Llama-3.1-8B-UltraMedical,livecodebench,0.15639810426540285
6,Llama-3.1-8B-UltraMedical,bbh,0.4074074074074074
6,Llama-3.1-8B-UltraMedical,mmlupro,0.389351081530782
6,Llama-3.1-8B-UltraMedical,finqa,0.5625
6,Llama-3.1-8B-UltraMedical,medqa,0.6767015706806283
6,Llama-3.1-8B-UltraMedical,meld,0.4397834912043302
6,Llama-3.1-8B-UltraMedical,korbench,0.12266666666666666
6,Qwen2.5-Coder-7B-Instruct,math500,0.66
6,Qwen2.5-Coder-7B-Instruct,livecodebench,0.2796208530805687
6,Qwen2.5-Coder-7B-Instruct,bbh,0.5864197530864198
6,Qwen2.5-Coder-7B-Instruct,mmlupro,0.4525790349417637
6,Qwen2.5-Coder-7B-Instruct,finqa,0.6438953488372093
6,Qwen2.5-Coder-7B-Instruct,medqa,0.4698952879581152
6,Qwen2.5-Coder-7B-Instruct,meld,0.510148849797023
6,Qwen2.5-Coder-7B-Instruct,korbench,0.3373333333333333
6,Qwen3-8B,math500,0.94
6,Qwen3-8B,livecodebench,0.6477093206951027
6,Qwen3-8B,bbh,0.875
6,Qwen3-8B,mmlupro,0.6905158069883528
6,Qwen3-8B,finqa,0.7558139534883721
6,Qwen3-8B,medqa,0.7801047120418848
6,Qwen3-8B,meld,0.5520974289580515
6,Qwen3-8B,korbench,0.524
6,Llama-3.1-8B-Instruct,math500,0.49
6,Llama-3.1-8B-Instruct,livecodebench,0.17061611374407584
6,Llama-3.1-8B-Instruct,bbh,0.6219135802469136
6,Llama-3.1-8B-Instruct,mmlupro,0.45923460898502494
6,Llama-3.1-8B-Instruct,finqa,0.5261627906976745
6,Llama-3.1-8B-Instruct,medqa,0.6897905759162304
6,Llama-3.1-8B-Instruct,meld,0.5020297699594046
6,Llama-3.1-8B-Instruct,korbench,0.19733333333333333
6,NVIDIA-Nemotron-Nano-9B-v2,math500,0.9633333333333334
6,NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.6350710900473934
6,NVIDIA-Nemotron-Nano-9B-v2,bbh,0.8703703703703703
6,NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.6638935108153078
6,NVIDIA-Nemotron-Nano-9B-v2,finqa,0.7398255813953488
6,NVIDIA-Nemotron-Nano-9B-v2,medqa,0.7290575916230366
6,NVIDIA-Nemotron-Nano-9B-v2,meld,0.5128552097428958
6,NVIDIA-Nemotron-Nano-9B-v2,korbench,0.5573333333333333
6,gemma-2-9b-it,math500,0.48
6,gemma-2-9b-it,livecodebench,0.1943127962085308
6,gemma-2-9b-it,bbh,0.6172839506172839
6,gemma-2-9b-it,mmlupro,0.5574043261231281
6,gemma-2-9b-it,finqa,0.6656976744186046
6,gemma-2-9b-it,medqa,0.606020942408377
6,gemma-2-9b-it,meld,0.5385656292286874
6,gemma-2-9b-it,korbench,0.332
7,DeepSeek-R1-0528-Qwen3-8B,math500,0.96
7,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.6382306477093207
7,DeepSeek-R1-0528-Qwen3-8B,bbh,0.8981481481481481
7,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.7154742096505824
7,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7136627906976745
7,DeepSeek-R1-0528-Qwen3-8B,medqa,0.8272251308900523
7,DeepSeek-R1-0528-Qwen3-8B,meld,0.5358592692828146
7,DeepSeek-R1-0528-Qwen3-8B,korbench,0.568
