replicate,dataset,model,utility
4,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7020348837209303
4,finqa,Fin-R1,0.6787790697674418
4,finqa,GLM-Z1-9B-0414,0.6773255813953488
4,finqa,Intern-S1-mini,0.6816860465116279
4,finqa,Qwen2.5-Coder-7B-Instruct,0.626453488372093
4,finqa,Qwen3-8B,0.7340116279069767
4,finqa,gemma-2-9b-it,0.6322674418604651
4,finqa,glm-4-9b-chat,0.5581395348837209
4,humaneval,DeepSeek-R1-0528-Qwen3-8B,0.2755102040816326
4,humaneval,Fin-R1,0.7551020408163265
4,humaneval,GLM-Z1-9B-0414,0.5816326530612245
4,humaneval,Intern-S1-mini,0.47959183673469385
4,humaneval,Qwen2.5-Coder-7B-Instruct,0.8775510204081632
4,humaneval,Qwen3-8B,0.6428571428571429
4,humaneval,gemma-2-9b-it,0.673469387755102
4,humaneval,glm-4-9b-chat,0.8061224489795918
4,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5306666666666666
4,korbench,Fin-R1,0.2813333333333333
4,korbench,GLM-Z1-9B-0414,0.5266666666666666
4,korbench,Intern-S1-mini,0.5586666666666666
4,korbench,Qwen2.5-Coder-7B-Instruct,0.32
4,korbench,Qwen3-8B,0.5146666666666667
4,korbench,gemma-2-9b-it,0.32133333333333336
4,korbench,glm-4-9b-chat,0.3426666666666667
4,math500,DeepSeek-R1-0528-Qwen3-8B,0.9733333333333334
4,math500,Fin-R1,0.77
4,math500,GLM-Z1-9B-0414,0.9766666666666667
4,math500,Intern-S1-mini,0.9233333333333333
4,math500,Qwen2.5-Coder-7B-Instruct,0.6666666666666666
4,math500,Qwen3-8B,0.9633333333333334
4,math500,gemma-2-9b-it,0.5233333333333333
4,math500,glm-4-9b-chat,0.51
4,mbpp,DeepSeek-R1-0528-Qwen3-8B,0.3253424657534247
4,mbpp,Fin-R1,0.6815068493150684
4,mbpp,GLM-Z1-9B-0414,0.6095890410958904
4,mbpp,Intern-S1-mini,0.4315068493150685
4,mbpp,Qwen2.5-Coder-7B-Instruct,0.7671232876712328
4,mbpp,Qwen3-8B,0.5616438356164384
4,mbpp,gemma-2-9b-it,0.613013698630137
4,mbpp,glm-4-9b-chat,0.6164383561643836
4,medqa,DeepSeek-R1-0528-Qwen3-8B,0.819371727748691
4,medqa,Fin-R1,0.6204188481675392
4,medqa,GLM-Z1-9B-0414,0.7081151832460733
4,medqa,Intern-S1-mini,0.6924083769633508
4,medqa,Qwen2.5-Coder-7B-Instruct,0.48429319371727747
4,medqa,Qwen3-8B,0.8010471204188482
4,medqa,gemma-2-9b-it,0.650523560209424
4,medqa,glm-4-9b-chat,0.5981675392670157
4,meld,DeepSeek-R1-0528-Qwen3-8B,0.5588633288227334
4,meld,Fin-R1,0.5155615696887687
4,meld,GLM-Z1-9B-0414,0.4993234100135318
4,meld,Intern-S1-mini,0.5453315290933695
4,meld,Qwen2.5-Coder-7B-Instruct,0.5493910690121786
4,meld,Qwen3-8B,0.5669824086603519
4,meld,gemma-2-9b-it,0.5561569688768606
4,meld,glm-4-9b-chat,0.5737483085250338
5,emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.38516746411483255
5,emorynlp,Fin-R1,0.39712918660287083
5,emorynlp,GLM-Z1-9B-0414,0.3660287081339713
5,emorynlp,Intern-S1-mini,0.37799043062200954
5,emorynlp,Qwen2.5-Coder-7B-Instruct,0.33253588516746413
5,emorynlp,Qwen3-8B,0.39712918660287083
5,emorynlp,gemma-2-9b-it,0.3803827751196172
5,emorynlp,glm-4-9b-chat,0.361244019138756
5,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7078488372093024
5,finqa,Fin-R1,0.6802325581395349
5,finqa,GLM-Z1-9B-0414,0.6686046511627907
5,finqa,Intern-S1-mini,0.6962209302325582
5,finqa,Qwen2.5-Coder-7B-Instruct,0.6424418604651163
5,finqa,Qwen3-8B,0.7267441860465116
5,finqa,gemma-2-9b-it,0.623546511627907
5,finqa,glm-4-9b-chat,0.5421511627906976
5,humaneval,DeepSeek-R1-0528-Qwen3-8B,0.23469387755102042
5,humaneval,Fin-R1,0.826530612244898
5,humaneval,GLM-Z1-9B-0414,0.5918367346938775
5,humaneval,Intern-S1-mini,0.5204081632653061
5,humaneval,Qwen2.5-Coder-7B-Instruct,0.8673469387755102
5,humaneval,Qwen3-8B,0.6836734693877551
5,humaneval,gemma-2-9b-it,0.673469387755102
5,humaneval,glm-4-9b-chat,0.8061224489795918
5,korbench,DeepSeek-R1-0528-Qwen3-8B,0.556
5,korbench,Fin-R1,0.32
5,korbench,GLM-Z1-9B-0414,0.5266666666666666
5,korbench,Intern-S1-mini,0.5706666666666667
5,korbench,Qwen2.5-Coder-7B-Instruct,0.312
5,korbench,Qwen3-8B,0.5426666666666666
5,korbench,gemma-2-9b-it,0.328
5,korbench,glm-4-9b-chat,0.3586666666666667
5,math500,DeepSeek-R1-0528-Qwen3-8B,0.9366666666666666
5,math500,Fin-R1,0.7966666666666666
5,math500,GLM-Z1-9B-0414,0.95
5,math500,Intern-S1-mini,0.92
5,math500,Qwen2.5-Coder-7B-Instruct,0.6533333333333333
5,math500,Qwen3-8B,0.9333333333333333
5,math500,gemma-2-9b-it,0.49
5,math500,glm-4-9b-chat,0.5366666666666666
5,mbpp,DeepSeek-R1-0528-Qwen3-8B,0.3698630136986301
5,mbpp,Fin-R1,0.6832191780821918
5,mbpp,GLM-Z1-9B-0414,0.6592465753424658
5,mbpp,Intern-S1-mini,0.4503424657534247
5,mbpp,Qwen2.5-Coder-7B-Instruct,0.7585616438356164
5,mbpp,Qwen3-8B,0.5291095890410958
5,mbpp,gemma-2-9b-it,0.6078767123287672
5,mbpp,glm-4-9b-chat,0.6164383561643836
5,medqa,DeepSeek-R1-0528-Qwen3-8B,0.8075916230366492
5,medqa,Fin-R1,0.6047120418848168
5,medqa,GLM-Z1-9B-0414,0.7225130890052356
5,medqa,Intern-S1-mini,0.7094240837696335
5,medqa,Qwen2.5-Coder-7B-Instruct,0.47643979057591623
5,medqa,Qwen3-8B,0.7827225130890052
5,medqa,gemma-2-9b-it,0.6256544502617801
5,medqa,glm-4-9b-chat,0.599476439790576
5,meld,DeepSeek-R1-0528-Qwen3-8B,0.5155615696887687
5,meld,Fin-R1,0.5209742895805142
5,meld,GLM-Z1-9B-0414,0.4438430311231394
5,meld,Intern-S1-mini,0.476319350473613
5,meld,Qwen2.5-Coder-7B-Instruct,0.5115020297699594
