replicate,task,model
34,math500,DeepSeek-R1-0528-Qwen3-8B
34,korbench,GLM-Z1-9B-0414
34,emorynlp,gemma-2-9b-it
34,mbpp,Fin-R1
35,meld,glm-4-9b-chat
35,medqa,DeepSeek-R1-0528-Qwen3-8B
35,humaneval,Qwen2.5-Coder-7B-Instruct
35,math500,GLM-Z1-9B-0414
35,korbench,Intern-S1-mini
35,emorynlp,gemma-2-9b-it
35,mbpp,Fin-R1
35,finqa,Qwen3-8B
36,meld,glm-4-9b-chat
36,medqa,DeepSeek-R1-0528-Qwen3-8B
36,mbpp,Qwen2.5-Coder-7B-Instruct
36,math500,GLM-Z1-9B-0414
36,humaneval,Fin-R1
36,korbench,Intern-S1-mini
36,emorynlp,gemma-2-9b-it
36,finqa,Qwen3-8B
37,meld,glm-4-9b-chat
37,medqa,DeepSeek-R1-0528-Qwen3-8B
37,humaneval,Qwen2.5-Coder-7B-Instruct
37,math500,GLM-Z1-9B-0414
37,korbench,Intern-S1-mini
37,emorynlp,gemma-2-9b-it
37,mbpp,Fin-R1
37,finqa,Qwen3-8B
38,meld,glm-4-9b-chat
38,medqa,DeepSeek-R1-0528-Qwen3-8B
38,humaneval,Qwen2.5-Coder-7B-Instruct
38,math500,GLM-Z1-9B-0414
38,korbench,Intern-S1-mini
38,emorynlp,gemma-2-9b-it
38,mbpp,Fin-R1
38,finqa,Qwen3-8B
39,meld,glm-4-9b-chat
39,humaneval,Qwen2.5-Coder-7B-Instruct
39,mbpp,GLM-Z1-9B-0414
39,math500,DeepSeek-R1-0528-Qwen3-8B
39,finqa,Fin-R1
39,korbench,Intern-S1-mini
39,emorynlp,gemma-2-9b-it
39,medqa,Qwen3-8B
40,meld,glm-4-9b-chat
40,medqa,DeepSeek-R1-0528-Qwen3-8B
40,humaneval,Qwen2.5-Coder-7B-Instruct
40,math500,GLM-Z1-9B-0414
40,korbench,Intern-S1-mini
40,emorynlp,gemma-2-9b-it
40,mbpp,Fin-R1
40,finqa,Qwen3-8B
41,meld,glm-4-9b-chat
41,medqa,DeepSeek-R1-0528-Qwen3-8B
41,humaneval,Qwen2.5-Coder-7B-Instruct
41,math500,GLM-Z1-9B-0414
41,korbench,Intern-S1-mini
41,emorynlp,gemma-2-9b-it
41,mbpp,Fin-R1
41,finqa,Qwen3-8B
42,meld,glm-4-9b-chat
42,medqa,DeepSeek-R1-0528-Qwen3-8B
42,humaneval,Qwen2.5-Coder-7B-Instruct
42,math500,GLM-Z1-9B-0414
42,korbench,Intern-S1-mini
42,emorynlp,gemma-2-9b-it
42,mbpp,Fin-R1
42,finqa,Qwen3-8B
43,medqa,Qwen3-8B
43,meld,glm-4-9b-chat
43,humaneval,Qwen2.5-Coder-7B-Instruct
43,finqa,Intern-S1-mini
43,math500,DeepSeek-R1-0528-Qwen3-8B
43,korbench,GLM-Z1-9B-0414
43,emorynlp,gemma-2-9b-it
43,mbpp,Fin-R1
44,meld,glm-4-9b-chat
44,medqa,DeepSeek-R1-0528-Qwen3-8B
44,humaneval,Qwen2.5-Coder-7B-Instruct
44,math500,GLM-Z1-9B-0414
44,korbench,Intern-S1-mini
44,emorynlp,gemma-2-9b-it
44,mbpp,Fin-R1
44,finqa,Qwen3-8B
45,medqa,DeepSeek-R1-0528-Qwen3-8B
45,meld,gemma-2-9b-it
45,mbpp,Qwen2.5-Coder-7B-Instruct
45,math500,GLM-Z1-9B-0414
45,emorynlp,Fin-R1
45,korbench,Intern-S1-mini
45,humaneval,glm-4-9b-chat
45,finqa,Qwen3-8B
46,meld,glm-4-9b-chat
46,medqa,DeepSeek-R1-0528-Qwen3-8B
46,humaneval,Qwen2.5-Coder-7B-Instruct
46,math500,GLM-Z1-9B-0414
46,korbench,Intern-S1-mini
46,emorynlp,gemma-2-9b-it
46,mbpp,Fin-R1
46,finqa,Qwen3-8B
47,meld,glm-4-9b-chat
47,medqa,DeepSeek-R1-0528-Qwen3-8B
47,humaneval,Qwen2.5-Coder-7B-Instruct
47,math500,GLM-Z1-9B-0414
47,korbench,Intern-S1-mini
47,emorynlp,gemma-2-9b-it
47,mbpp,Fin-R1
47,finqa,Qwen3-8B
48,meld,glm-4-9b-chat
48,medqa,DeepSeek-R1-0528-Qwen3-8B
48,humaneval,Qwen2.5-Coder-7B-Instruct
48,math500,GLM-Z1-9B-0414
48,korbench,Intern-S1-mini
48,emorynlp,gemma-2-9b-it
48,mbpp,Fin-R1
48,finqa,Qwen3-8B
49,meld,glm-4-9b-chat
49,medqa,DeepSeek-R1-0528-Qwen3-8B
49,humaneval,Qwen2.5-Coder-7B-Instruct
49,math500,GLM-Z1-9B-0414
49,korbench,Intern-S1-mini
49,emorynlp,gemma-2-9b-it
49,mbpp,Fin-R1
49,finqa,Qwen3-8B
50,meld,glm-4-9b-chat
50,medqa,DeepSeek-R1-0528-Qwen3-8B
50,humaneval,Qwen2.5-Coder-7B-Instruct
50,math500,GLM-Z1-9B-0414
50,korbench,Intern-S1-mini
50,emorynlp,gemma-2-9b-it
50,mbpp,Fin-R1
50,finqa,Qwen3-8B
51,meld,glm-4-9b-chat
51,medqa,DeepSeek-R1-0528-Qwen3-8B
51,humaneval,Qwen2.5-Coder-7B-Instruct
51,math500,GLM-Z1-9B-0414
51,korbench,Intern-S1-mini
51,emorynlp,gemma-2-9b-it
51,mbpp,Fin-R1
51,finqa,Qwen3-8B
52,meld,glm-4-9b-chat
52,medqa,DeepSeek-R1-0528-Qwen3-8B
52,humaneval,Qwen2.5-Coder-7B-Instruct
52,math500,GLM-Z1-9B-0414
52,korbench,Intern-S1-mini
52,emorynlp,gemma-2-9b-it
52,mbpp,Fin-R1
52,finqa,Qwen3-8B
53,medqa,Qwen3-8B
53,meld,glm-4-9b-chat
53,humaneval,Qwen2.5-Coder-7B-Instruct
53,finqa,Intern-S1-mini
53,math500,DeepSeek-R1-0528-Qwen3-8B
53,korbench,GLM-Z1-9B-0414
53,emorynlp,gemma-2-9b-it
53,mbpp,Fin-R1
54,meld,glm-4-9b-chat
54,medqa,DeepSeek-R1-0528-Qwen3-8B
54,mbpp,Qwen2.5-Coder-7B-Instruct
54,math500,GLM-Z1-9B-0414
54,humaneval,Fin-R1
54,korbench,Intern-S1-mini
54,emorynlp,gemma-2-9b-it
54,finqa,Qwen3-8B
55,meld,glm-4-9b-chat
55,medqa,DeepSeek-R1-0528-Qwen3-8B
55,humaneval,Qwen2.5-Coder-7B-Instruct
55,math500,GLM-Z1-9B-0414
55,korbench,Intern-S1-mini
55,emorynlp,gemma-2-9b-it
55,mbpp,Fin-R1
55,finqa,Qwen3-8B
56,meld,glm-4-9b-chat
56,medqa,DeepSeek-R1-0528-Qwen3-8B
56,humaneval,Qwen2.5-Coder-7B-Instruct
56,math500,GLM-Z1-9B-0414
56,korbench,Intern-S1-mini
56,emorynlp,gemma-2-9b-it
56,mbpp,Fin-R1
56,finqa,Qwen3-8B
57,medqa,Qwen3-8B
57,humaneval,Qwen2.5-Coder-7B-Instruct
57,finqa,Intern-S1-mini
57,meld,gemma-2-9b-it
57,emorynlp,glm-4-9b-chat
57,math500,DeepSeek-R1-0528-Qwen3-8B
57,korbench,GLM-Z1-9B-0414
57,mbpp,Fin-R1
58,meld,glm-4-9b-chat
58,medqa,DeepSeek-R1-0528-Qwen3-8B
58,humaneval,Qwen2.5-Coder-7B-Instruct
58,math500,GLM-Z1-9B-0414
58,korbench,Intern-S1-mini
58,emorynlp,gemma-2-9b-it
58,mbpp,Fin-R1
58,finqa,Qwen3-8B
59,meld,glm-4-9b-chat
59,medqa,DeepSeek-R1-0528-Qwen3-8B
59,mbpp,Qwen2.5-Coder-7B-Instruct
59,math500,GLM-Z1-9B-0414
59,humaneval,Fin-R1
59,korbench,Intern-S1-mini
59,emorynlp,gemma-2-9b-it
59,finqa,Qwen3-8B
60,meld,glm-4-9b-chat
60,medqa,DeepSeek-R1-0528-Qwen3-8B
